id	filename	md5	size	state
ee176128-007e-48bb-900d-54eb52a15ceb	TCGA-AC-A5XU.D61D4CCC-2AB5-4268-AEB7-C8928E0AF964.PDF	56f081c1a0dece0e8c45cc02f7116311	603696	released
09ced32a-4a6e-4e5f-ba75-1531cf3a64bc	nationwidechildrens.org_clinical.TCGA-A8-A09N.xml	333beff4b7e73d9745edc2810c4bf4fe	36338	released
dc839b66-530f-4896-a254-392280d00338	nationwidechildrens.org_clinical.TCGA-AR-A1AU.xml	a9a83956bd92a3a2da7d05c735ed4ff6	109579	released
fc260bde-2060-4fe4-93fb-1bcb8ed6a89f	TCGA-AR-A1AU.5654FC27-47D3-4C7F-A0E7-A5B6140991C2.PDF	f027b4fbe4f8e1cb7ed8bfda4f144125	77208	released
54b37de1-1dce-462d-9049-31cf5a9ed1da	nationwidechildrens.org_clinical.TCGA-C8-A135.xml	6bfd2710f7bdadb72f93ccd111463221	88159	released
b4053a92-9cd5-4081-b62f-7b8f864e04b9	TCGA-C8-A135.7045ECC9-72B3-4AD3-A6C6-4F8C6914EAA1.PDF	849bef372202a6eaf88069e9f7febe6b	248982	released
a3ddf394-ec6c-40f2-b28a-97c4291a212d	nationwidechildrens.org_clinical.TCGA-AC-A3QQ.xml	2973db210349d765a6f1385f4ce0fcea	60859	released
28d4db85-315d-4a55-887b-48b209aad1fa	nationwidechildrens.org_clinical.TCGA-AN-A0XS.xml	75cfcc55cf0db5964823246735d90587	50849	released
5bf8643d-223f-4ecd-a41d-9509e14edde5	TCGA-D8-A1X9.E69CF3E3-4799-4892-87E9-4291B14A1B9C.PDF	7a419bc079c7d44daea988d045421781	86105	released
028b6a76-166f-48d7-a47c-11e50f53ab71	TCGA-D8-A1XK.B3DB4F9E-C91B-4913-93E8-F18FF22CBA7C.PDF	fea175a6333c6314ee21afd798b142c1	72789	released
d8d34473-7fae-48ab-8de2-5fc0cb2645a9	nationwidechildrens.org_clinical.TCGA-A2-A0T5.xml	3ea35a95f6d68cf27ecf71f213c536a8	69341	released
990b5d54-4a7e-4ad6-9bb6-c9543302e4ca	nationwidechildrens.org_clinical.TCGA-D8-A1Y1.xml	28120131e7ebfc6c4dfd05bfc7ddb681	57588	released
ff679dd3-62be-4332-8157-0a83ffb8516a	nationwidechildrens.org_omf.TCGA-AQ-A54O.xml	51d941bd11b66f9cb2f23ac74f38794c	11063	released
e1b725f5-3ec0-476c-99d9-83022966de84	nationwidechildrens.org_clinical.TCGA-AR-A2LH.xml	8145a7ac8227b111e6e9f2e5233820dd	93865	released
aaee70ea-4ccf-4ec8-8d65-d6c8771a4288	TCGA-AR-A1AY.01D97550-C616-4001-85A5-5502D35FA38E.PDF	28d54b5d041e6a805bdd27332d42e06c	66094	released
c49b282b-0a3c-44f5-a7de-bef9e625a061	TCGA-A2-A0CT.FDF38AA6-DC65-4043-8277-71BAE47902B1.PDF	cc2632899dbd97c6b5ecefdeed18f37e	150945	released
64825ada-8471-4671-9bbe-0fc670e631c8	TCGA-E9-A1RD.EDDEB48B-B712-40B0-9DE5-9F5B5791AF4D.PDF	189f16151670eced75bccff616b93866	64499	released
171bd1d0-d2a7-461e-af61-39c04de73aa7	TCGA-LD-A74U.CA6A13D4-DD80-4424-B5F3-654EE31263AE.PDF	42ecc97c73d70a0009623f8ce4ba9391	217603	released
e33d86a2-0553-47f9-8e7d-09b8a2eba734	TCGA-AO-A0J3.29C262B5-D49D-4125-9661-19033A8EC6A8.PDF	c54004745f9a07b12540520762ff0896	533918	released
59593820-8922-476a-96d5-48b22c0bab4e	TCGA-AO-A1KP.467172CC-6EA1-435D-BDC1-D65FBF8EA0E8.PDF	eb30e928a2ec1a6a52c8cf5696e07e2b	186783	released
51720691-1a61-4434-9455-1126edea0850	TCGA-EW-A1OX.4C40B309-3178-4E7E-A987-47698E5E364B.PDF	a5e5981d7ea2f1ee7aaa0f842a6ed2fa	171333	released
8e26c786-e144-4ce2-9792-fe957cd03aa8	TCGA-D8-A27L.1281F503-C256-4DFF-A3BD-BD5E51CE4249.PDF	75b084da716ecf07f6e2fe43ba2048e0	71933	released
38cb84d9-9515-4557-aa5c-e5f28a3708f2	nationwidechildrens.org_clinical.TCGA-AR-A1AO.xml	b03b568de6158039afaf64976897cd00	95089	released
14e445c4-8d86-4c0c-a3da-fd4612206b8f	TCGA-BH-A0E1.891F4C63-8207-4CB8-AB59-A970CC6F1A1A.PDF	1f87f30e8e8f2b1f35a80693503c7081	110191	released
2923b4df-3e8c-4030-a812-e516f351428e	nationwidechildrens.org_clinical.TCGA-BH-A0BR.xml	01719d053e6d20c08140dfa3ed2beec6	55718	released
d44aca1c-20f8-4360-a1a2-93bcde9743a0	nationwidechildrens.org_clinical.TCGA-D8-A1J8.xml	c07c23a1185d2b04bb1cd774b42a4d9a	66810	released
34e345b1-9b97-45f2-bd39-99abf23e2c0c	TCGA-GM-A4E0.DB0291E6-E371-40F8-BDB3-0F85F015B3DE.PDF	3577265d7f9207335b68f3911ef327dd	153952	released
0dcbeac1-0e6e-44bb-8f26-e17facfe7f44	nationwidechildrens.org_clinical.TCGA-GM-A4E0.xml	3083161d0e21431f68f8cadd859f1c5e	101545	released
2552ab12-e5c6-43c0-abc3-c3a8acc41bd9	nationwidechildrens.org_clinical.TCGA-E9-A1RH.xml	e9a3ccf9ad78727a5757f1c7da2fbe50	113689	released
